dataset_id,measure_id,measure_name
45,32,Липецкая область
45,33,Московская область
45,34,Орловская область
45,35,Рязанская область
45,36,Смоленская область
45,37,Тамбовская область
45,38,Тверская область
45,39,Тульская область
45,40,Ярославская область
45,41,г. Москва
45,42,Северо-Западный федеральный округ
45,43,Республика Карелия
45,44,Республика Коми
45,45,Архангельская область
45,46,"Архангельская область, в том числе Ненецкий автономный округ"
45,47,Архангельская область без данных по Ненецкому автономному округу
45,48,Вологодская область
45,49,Калининградская область
45,50,Ленинградская область
45,51,Мурманская область
45,52,Новгородская область
45,53,Псковская область
45,54,г. Санкт-Петербург
45,55,Южный федеральный округ
45,56,Республика Адыгея (Адыгея)
45,57,Республика Калмыкия
45,58,Республика Крым
45,59,Краснодарский край
45,60,Астраханская область
45,61,Волгоградская область
45,62,Ростовская область
45,63,г. Севастополь
45,64,Северо-Кавказский федеральный округ
45,65,Республика Дагестан
45,66,Республика Ингушетия
45,67,Кабардино-Балкарская Республика
45,68,Карачаево-Черкесская Республика
45,69,Республика Северная Осетия - Алания
45,70,Чеченская Республика
45,71,Ставропольский край
45,72,Приволжский федеральный округ
45,73,Республика Башкортостан
45,74,Республика Марий Эл
45,75,Республика Мордовия
45,76,Республика Татарстан (Татарстан)
45,77,Удмуртская Республика
45,78,Чувашская Республика - Чувашия
45,79,Пермский край
45,80,Кировская область
45,81,Нижегородская область
45,82,Оренбургская область
45,83,Пензенская область
45,84,Самарская область
45,85,Саратовская область
45,86,Ульяновская область
45,87,Уральский федеральный округ
45,88,Курганская область
45,89,Свердловская область
45,90,Тюменская область
45,91,"Тюменская область, в том числе Ханты-Мансийский автономный округ - Югра"
45,92,"Тюменская область, в том числе Ямало-Ненецкий автономный округ"
45,93,Тюменская область без данных по Ханты-Мансийскому автономному округу - Югре и Ямало-Ненецкому автономному округу
45,94,Челябинская область
45,95,Сибирский федеральный округ
45,96,Республика Алтай
45,97,Республика Тыва
45,98,Республика Хакасия
45,99,Алтайский край
45,100,Красноярский край
45,101,Иркутская область
45,102,Кемеровская область - Кузбасс
45,103,Новосибирская область
45,104,Омская область
45,105,Томская область
45,106,Дальневосточный федеральный округ
45,107,Республика Бурятия
45,108,Республика Саха (Якутия)
45,109,Забайкальский край
45,110,Камчатский край
45,111,Приморский край
45,112,Хабаровский край
45,113,Амурская область
45,114,Магаданская область
45,115,Сахалинская область
45,116,Еврейская автономная область
45,117,Чукотский автономный округ
47,22,Российская Федерация
47,23,Центральный федеральный округ
47,24,Белгородская область
47,25,Брянская область
47,26,Владимирская область
47,27,Воронежская область
47,28,Ивановская область
47,29,Калужская область
47,30,Костромская область
47,31,Курская область
47,32,Липецкая область
47,33,Московская область
47,34,Орловская область
47,35,Рязанская область
47,36,Смоленская область
47,37,Тамбовская область
47,38,Тверская область
47,39,Тульская область
47,40,Ярославская область
47,41,г. Москва
47,42,Северо-Западный федеральный округ
47,43,Республика Карелия
47,44,Республика Коми
47,45,Архангельская область
47,46,"Архангельская область, в том числе Ненецкий автономный округ"
47,47,Архангельская область без данных по Ненецкому автономному округу
47,48,Вологодская область
47,49,Калининградская область
47,50,Ленинградская область
47,51,Мурманская область
47,52,Новгородская область
47,53,Псковская область
47,54,г. Санкт-Петербург
47,55,Южный федеральный округ
47,56,Республика Адыгея (Адыгея)
47,57,Республика Калмыкия
47,58,Республика Крым
47,59,Краснодарский край
47,60,Астраханская область
47,61,Волгоградская область
47,62,Ростовская область
47,63,г. Севастополь
47,64,Северо-Кавказский федеральный округ
47,65,Республика Дагестан
47,66,Республика Ингушетия
47,67,Кабардино-Балкарская Республика
47,68,Карачаево-Черкесская Республика
47,69,Республика Северная Осетия - Алания
47,70,Чеченская Республика
47,71,Ставропольский край
47,72,Приволжский федеральный округ
47,73,Республика Башкортостан
47,74,Республика Марий Эл
47,75,Республика Мордовия
47,76,Республика Татарстан (Татарстан)
47,77,Удмуртская Республика
47,78,Чувашская Республика - Чувашия
47,79,Пермский край
47,80,Кировская область
47,81,Нижегородская область
47,82,Оренбургская область
47,83,Пензенская область
47,84,Самарская область
47,85,Саратовская область
47,86,Ульяновская область
47,87,Уральский федеральный округ
47,88,Курганская область
47,89,Свердловская область
47,90,Тюменская область
47,91,"Тюменская область, в том числе Ханты-Мансийский автономный округ - Югра"
47,92,"Тюменская область, в том числе Ямало-Ненецкий автономный округ"
47,93,Тюменская область без данных по Ханты-Мансийскому автономному округу - Югре и Ямало-Ненецкому автономному округу
47,94,Челябинская область
47,95,Сибирский федеральный округ
47,96,Республика Алтай
47,97,Республика Тыва
47,98,Республика Хакасия
47,99,Алтайский край
47,100,Красноярский край
47,101,Иркутская область
47,102,Кемеровская область - Кузбасс
47,103,Новосибирская область
47,104,Омская область
47,105,Томская область
47,106,Дальневосточный федеральный округ
47,107,Республика Бурятия
47,108,Республика Саха (Якутия)
47,109,Забайкальский край
47,110,Камчатский край
